,uuid,substance,number,INCI
0,6504c871-0c9e-49f0-9e3b-62bdf078283a,Formaldehyde,200-001-8,Formaldehyde
2,4c2286ec-132b-48af-9df2-b9552987484e,Guanidinium chloride,200-002-3,
3,0d13cc4e-0c7f-4088-b413-e81d78f8ad4f,Dexamethasone,200-003-9,
4,6dd7c33b-0a2e-4f91-aa80-306bbf83f14f,Hydrocortisone 21-acetate,200-004-4,
5,94a4f0f9-46aa-4dca-ab0f-7994f0aa015a,Cortisone 21-acetate,200-006-5,
6,ada7b4a0-1b48-4c9b-a93b-1d1848a5ff1d,Phenobarbital,200-007-0,
7,e0f161e5-881b-4c10-97e8-994b322e7431,Lactic acid,200-018-0,Lactic Acid
8,0af9c1eb-9423-4faf-9931-122f06353688,Hydrocortisone,200-020-1,
9,a6be570e-361b-4e9b-8ab2-8f8adb333d43,Prednisolone,200-021-7,
10,818d9508-2d3d-4404-a55b-467a9f4d382e,Estradiol,200-023-8,
11,27e2c9bc-41cc-4549-8653-acd6eec591cb,"2,3-dichlorobenzoic acid",200-039-5,Benzoic Acid
12,4de9c1eb-7370-4041-bdff-53d0df0c83f9,Desipramine,200-040-0,
13,6c2835ac-1dd0-46cd-b9a2-34c3f853cb5f,Amitriptyline,200-041-6,
14,b8ba89aa-d0c3-4219-8db1-3378b8b4cd7c,Imipramine,200-042-1,
15,8433caf5-5924-48dd-ab5c-f991f62c508f,Thioridazine,200-044-2,
16,edcc5ec4-4b7a-44da-9f19-e66179a42714,Chlorpromazine,200-045-8,
17,2ffbf78b-21da-4904-a3b9-0765fab14529,D-ribose,200-059-4,Ribose
19,9716d07d-a581-4c8b-b8cd-d3ca0659e925,O-acetylsalicylic acid,200-064-1,Salicylic Acid
21,6e8a2104-f106-43c8-8cf8-1738266abe26,2-hydroxy-p-toluic acid,200-068-3,
23,f51a14b9-3920-4236-90e0-2e40b1d7eb90,Thymidine,200-070-4,
24,cdd0d18a-c8b5-4364-a969-c9cfcb283053,α-phenyl-1H-benzimidazole-2-methanol,200-073-0,
25,52828dfd-f86c-4a9c-b601-ee6260f98551,Ephedrine hydrochloride,200-074-6,
26,5b2bba81-7119-40e5-8439-05985415ddf5,2-(2-butoxyethoxy)ethyl 6-propylpiperonyl ether,200-076-7,
28,371f678f-d57d-4826-941e-ca860cfd49cc,Procaine hydrochloride,200-077-2,
29,788e8431-4719-45e8-a525-838af5c21683,Benzimidazole,200-081-4,
30,887a83f0-fdfc-461c-aa6a-91289dad7b52,Fluorouracil,200-085-6,
31,e2134ce5-5ef5-48a8-a0b4-44fa9ce3df60,"2,4-dinitrophenol",200-087-7,
32,9c42e1e4-7b48-4788-8b0d-618771023f69,Hyoscine,200-090-3,
33,2bed568f-434c-49b1-9c95-9cebc64ed219,L-4-hydroxyproline,200-091-9,Proline
35,11fd5f48-a2ee-4b81-84df-c41e100b23db,"3,5-dichlorobenzoic acid",200-092-4,Benzoic Acid
36,6d479038-375c-4a7f-a95a-0b5f0fa6c7ef,DL-thyroxin,200-101-1,
37,c8efd5ce-5b8e-4e68-8030-700be4352226,Dexamphetamine,200-112-1,
38,2968dae0-f789-499c-b0fb-bc01ead56164,4-(2-aminoethyl)phenol,200-115-8,
40,aa2e5e9c-0bc8-4087-97ed-7995e81f7ba7,"N,N,N',N'-tetramethylmethylenediamine",200-124-7,
41,d73efc27-334e-49a7-8a41-268b521eea36,Morphine hydrochloride,200-136-2,
42,81cda80a-4c7b-4607-a16c-682a3631da5d,Bronopol,200-143-0,
43,36deea38-8fa4-480a-bb8c-dbfb417b178e,Cysteine hydrochloride,200-157-7,Cysteine
44,56341a42-6d2a-45ea-834b-835a310af79c,L-cysteine,200-158-2,Cysteine
46,d910df09-8b86-4d8c-a4a1-b63a87e5aa63,Estrone,200-164-5,
47,bfeb9021-870d-4be1-902b-01064c9c92dd,Methylprednisolone 21-acetate,200-171-3,
48,742f1960-dbea-49a6-ba41-68e921cf3882,Prasterone,200-175-5,
49,c905c078-9dfe-4763-b4d1-006e3e83108a,Nadide,200-184-4,
50,10a88095-5ee6-4149-b7ac-25cf46a702ec,Indometacin,200-186-5,
51,dc8dcad5-fde8-47b0-9897-8e254b6b4a0d,Nicotine,200-193-3,
53,b703ebdb-8235-470e-830d-33622f851a8f,Sodium salicylate,200-198-0,Sodium Salicylate
54,2a9802a4-470e-4ae9-adc4-1c85ddfe82a7,Isonicotinic acid,200-228-2,
56,0d3beb92-8171-4f45-bf04-a65ee45c99e3,Bis(4-hydroxy-N-methylanilinium) sulphate,200-237-1,
57,4d34f7c5-264f-4206-9261-f6b5af208d28,Chlorhexidine,200-238-7,Chlorhexidine
58,9d5f64d9-fd27-416a-a126-dc52ee014cdc,Glycerol trinitrate,200-240-8,
59,270cff27-77bd-4297-9528-2390cc994fe9,p-methoxyphenethylamine,200-245-5,
60,0d6395e4-b47f-4427-a725-e93c0647d975,Methylthiouracil,200-252-3,
61,c79d846b-351f-4938-9a70-48427f293e98,"2,6-diamino-1H-pyrimidin-4-one",200-254-4,
62,77431d54-e590-4a77-aa59-5c5b2e6851ea,4-aminobutyric acid,200-258-6,
63,7712e5be-6305-4889-965e-65e2fa745497,"3,3'-iminodi(propylamine)",200-261-2,
64,1c76b9d0-6787-4c20-a354-fa09cec9fbd5,Carbon tetrachloride,200-262-8,
65,ab2f4395-5558-4ea2-b311-4c8da9b5ef37,Tetraethylammonium chloride,200-267-5,
66,e01f0c9e-a568-4d18-9b56-cc942ea10573,Bis(tributyltin) oxide,200-268-0,
67,139fa5aa-8dc6-4d43-8f76-ef153881b2c7,Benzyltriethylammonium chloride,200-270-1,
